Date : 2020-03-23 22:13:10
Directory : c:\projects\ShopAppBeta\src
Total : 129 files,  2884 codes, 162 comments, 525 blanks, all 3571 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\projects\ShopAppBeta\src\app\home\template-list\template-list.component.css            | CSS        |          8 |          0 |          1 |          9 |
| c:\projects\ShopAppBeta\src\app\home\template-list\template-list.component.html           | HTML       |         12 |          0 |          0 |         12 |
| c:\projects\ShopAppBeta\src\app\home\template-list\template-list.component.spec.ts        | TypeScript |         20 |          0 |          6 |         26 |
| c:\projects\ShopAppBeta\src\app\home\template-list\template-list.component.ts             | TypeScript |         29 |          0 |          6 |         35 |
| c:\projects\ShopAppBeta\src\app\interface\customer.ts                                     | TypeScript |          5 |          0 |          1 |          6 |
| c:\projects\ShopAppBeta\src\app\interface\invoice-data.ts                                 | TypeScript |         16 |          0 |          3 |         19 |
| c:\projects\ShopAppBeta\src\app\interface\ledger.ts                                       | TypeScript |          6 |          0 |          1 |          7 |
| c:\projects\ShopAppBeta\src\app\interface\message.ts                                      | TypeScript |          7 |          0 |          1 |          8 |
| c:\projects\ShopAppBeta\src\app\interface\payment-method.enum.ts                          | TypeScript |          6 |          0 |          1 |          7 |
| c:\projects\ShopAppBeta\src\app\interface\product-usage.ts                                | TypeScript |          9 |          0 |          1 |         10 |
| c:\projects\ShopAppBeta\src\app\interface\product.ts                                      | TypeScript |          5 |          0 |          1 |          6 |
| c:\projects\ShopAppBeta\src\app\interface\raw-material.ts                                 | TypeScript |          5 |          0 |          1 |          6 |
| c:\projects\ShopAppBeta\src\app\interface\sql-request.ts                                  | TypeScript |          9 |          0 |          1 |         10 |
| c:\projects\ShopAppBeta\src\app\interface\sql-response.ts                                 | TypeScript |          6 |          0 |          1 |          7 |
| c:\projects\ShopAppBeta\src\app\interface\transaction.ts                                  | TypeScript |          9 |          0 |          1 |         10 |
| c:\projects\ShopAppBeta\src\app\interface\user.ts                                         | TypeScript |          6 |          0 |          1 |          7 |
| c:\projects\ShopAppBeta\src\app\interface\voucher.ts                                      | TypeScript |         13 |          0 |          1 |         14 |
| c:\projects\ShopAppBeta\src\app\login\login-routing.module.ts                             | TypeScript |          9 |          0 |          4 |         13 |
| c:\projects\ShopAppBeta\src\app\login\login.component.css                                 | CSS        |          0 |          0 |          1 |          1 |
| c:\projects\ShopAppBeta\src\app\login\login.component.html                                | HTML       |         47 |          0 |          5 |         52 |
| c:\projects\ShopAppBeta\src\app\login\login.component.spec.ts                             | TypeScript |         20 |          0 |          6 |         26 |
| c:\projects\ShopAppBeta\src\app\login\login.component.ts                                  | TypeScript |         40 |          2 |         10 |         52 |
| c:\projects\ShopAppBeta\src\app\login\login.module.ts                                     | TypeScript |         14 |          0 |          4 |         18 |
| c:\projects\ShopAppBeta\src\app\nav-bar\nav-bar.component.css                             | CSS        |         27 |          1 |          4 |         32 |
| c:\projects\ShopAppBeta\src\app\nav-bar\nav-bar.component.html                            | HTML       |         45 |          0 |          2 |         47 |
| c:\projects\ShopAppBeta\src\app\nav-bar\nav-bar.component.spec.ts                         | TypeScript |         20 |          0 |          6 |         26 |
| c:\projects\ShopAppBeta\src\app\nav-bar\nav-bar.component.ts                              | TypeScript |         24 |          0 |          8 |         32 |
| c:\projects\ShopAppBeta\src\app\notification\notification.component.css                   | CSS        |          0 |          0 |          1 |          1 |
| c:\projects\ShopAppBeta\src\app\notification\notification.component.html                  | HTML       |         31 |          0 |          2 |         33 |
| c:\projects\ShopAppBeta\src\app\notification\notification.component.spec.ts               | TypeScript |         20 |          0 |          6 |         26 |
| c:\projects\ShopAppBeta\src\app\notification\notification.component.ts                    | TypeScript |         29 |          0 |          6 |         35 |
| c:\projects\ShopAppBeta\src\app\services\auth.service.spec.ts                             | TypeScript |          9 |          0 |          4 |         13 |
| c:\projects\ShopAppBeta\src\app\services\auth.service.ts                                  | TypeScript |         72 |         12 |         12 |         96 |
| c:\projects\ShopAppBeta\src\app\services\collection.service.ts                            | TypeScript |         19 |          0 |          4 |         23 |
| c:\projects\ShopAppBeta\src\app\services\ledger.service.spec.ts                           | TypeScript |          9 |          0 |          4 |         13 |
| c:\projects\ShopAppBeta\src\app\services\ledger.service.ts                                | TypeScript |         39 |          0 |          7 |         46 |
| c:\projects\ShopAppBeta\src\app\services\notification.service.spec.ts                     | TypeScript |          9 |          0 |          4 |         13 |
| c:\projects\ShopAppBeta\src\app\services\notification.service.ts                          | TypeScript |         14 |          0 |          5 |         19 |
| c:\projects\ShopAppBeta\src\app\services\sql.service.spec.ts                              | TypeScript |          9 |          0 |          4 |         13 |
| c:\projects\ShopAppBeta\src\app\services\sql.service.ts                                   | TypeScript |         35 |          7 |          6 |         48 |
| c:\projects\ShopAppBeta\src\app\sharing\base-form\base-form.component.ts                  | TypeScript |         76 |          3 |         10 |         89 |
| c:\projects\ShopAppBeta\src\app\sharing\paginated-table\paginated-table.component.css     | CSS        |          6 |          0 |          1 |          7 |
| c:\projects\ShopAppBeta\src\app\sharing\paginated-table\paginated-table.component.html    | HTML       |        113 |          2 |          2 |        117 |
| c:\projects\ShopAppBeta\src\app\sharing\paginated-table\paginated-table.component.spec.ts | TypeScript |         20 |          0 |          6 |         26 |
| c:\projects\ShopAppBeta\src\app\sharing\paginated-table\paginated-table.component.ts      | TypeScript |        122 |         14 |         30 |        166 |
| c:\projects\ShopAppBeta\src\app\sharing\search.pipe.ts                                    | TypeScript |         15 |          0 |          4 |         19 |
| c:\projects\ShopAppBeta\src\app\sharing\sharing.module.ts                                 | TypeScript |         27 |          0 |          4 |         31 |
| c:\projects\ShopAppBeta\src\app\sharing\title-case.pipe.spec.ts                           | TypeScript |          7 |          0 |          2 |          9 |
| c:\projects\ShopAppBeta\src\app\sharing\title-case.pipe.ts                                | TypeScript |         14 |          0 |          4 |         18 |
| c:\projects\ShopAppBeta\src\app\sharing\under-score-to-space.pipe.spec.ts                 | TypeScript |          7 |          0 |          2 |          9 |
| c:\projects\ShopAppBeta\src\app\sharing\under-score-to-space.pipe.ts                      | TypeScript |          9 |          0 |          4 |         13 |
| c:\projects\ShopAppBeta\src\app\voucher-form\voucher-form.component.css                   | CSS        |          3 |          0 |          0 |          3 |
| c:\projects\ShopAppBeta\src\app\voucher-form\voucher-form.component.html                  | HTML       |         48 |          0 |          1 |         49 |
| c:\projects\ShopAppBeta\src\app\voucher-form\voucher-form.component.ts                    | TypeScript |        156 |          3 |         21 |        180 |
| c:\projects\ShopAppBeta\src\bootstrap.min.css                                             | CSS        |          2 |          5 |          0 |          7 |
| c:\projects\ShopAppBeta\src\environments\environment.prod.ts                              | TypeScript |          3 |          0 |          1 |          4 |
| c:\projects\ShopAppBeta\src\environments\environment.ts                                   | TypeScript |          3 |         11 |          3 |         17 |
| c:\projects\ShopAppBeta\src\index.html                                                    | HTML       |         13 |          0 |          1 |         14 |
| c:\projects\ShopAppBeta\src\main.ts                                                       | TypeScript |          9 |          0 |          4 |         13 |
| c:\projects\ShopAppBeta\src\polyfills.ts                                                  | TypeScript |          1 |         55 |          8 |         64 |
| c:\projects\ShopAppBeta\src\styles.css                                                    | CSS        |         49 |          1 |         12 |         62 |
| c:\projects\ShopAppBeta\src\test.ts                                                       | TypeScript |         13 |          4 |          4 |         21 |
| Total                                                                                     |            |      2,884 |        162 |        525 |      3,571 |
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
